#Anzahl N	t in s
1	1.919
2	1.903
3	2.074
4	1.763
5	2.012
6	2.028
7	1.95
8	1.872
9	1.997
10	2.137
11	1.997
12	1.856
13	1.997
14	2.059
15	1.95
16	1.95
17	2.06
18	1.888
19	1.903
20	1.934
21	1.934
22	2.012
23	1.903
24	2.137
25	1.919
26	1.966
27	2.169
28	2.044
29	1.934
30	2.043
31	1.996
32	1.903
33	1.856
34	1.95
35	1.778
36	1.919
37	2.012
38	1.981
39	2.169
40	1.997
41	1.872
42	1.95
43	1.997
44	1.872
45	1.919
46	2.012
47	1.763
48	2.028
49	1.981
50	2.028
51	1.966
52	2.136
53	1.856
54	1.981
55	1.997
56	2.013
57	2.075
58	2.028
59	1.981
60	1.872
61	1.966
62	2.028
63	1.903
64	2.012
65	2.137
66	2.012
67	1.903
68	1.95
69	1.966
70	1.965
71	2.059
72	1.981
73	1.966
74	1.966
75	1.965
76	1.841
77	2.044
78	1.981
79	2.013
80	2.122
81	2.075
82	2.028
83	2.013
84	2.012
85	1.965
86	1.996
87	1.981
88	1.997
89	2.059
90	2.059
91	2.183
92	1.981
93	2.106
94	2.028
95	2.06
96	2.028
97	1.966
98	2.074
99	2.012
100	1.981
